playerID,year,stint,tmID,GP,GS,minutes,points,oRebounds,dRebounds,assists,steals,blocks,turnovers,PF,ftAttempted,threeAttempted,dq,PostGP,PostGS,PostPoints,PostoRebounds,PostdRebounds,PostAssists,PostSteals,PostBlocks,PostTurnovers,PostPF,PostftAttempted,PostthreeAttempted,PostDQ
jacksta02w,7,0,PHO,3,2,54,24,1,3,7,6,1,4,7,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jacksti02w,8,0,NYL,34,0,474,173,31,73,19,23,12,49,66,79,0,0,3,0,23,5,8,4,2,1,6,3,9,0,0
jacksti02w,9,0,NYL,25,0,496,208,47,96,26,24,8,48,46,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jacksti02w,10,0,NYL,34,9,495,180,35,81,24,21,13,43,55,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jacobam01w,5,0,MIN,32,0,391,101,3,33,47,13,0,45,36,22,60,0,2,0,8,0,1,2,0,0,4,0,2,2,0
jacobam01w,6,0,MIN,33,0,478,121,4,15,68,19,4,46,34,29,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jacobam01w,7,0,MIN,34,34,861,279,17,73,115,26,2,90,71,57,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jacobam01w,8,0,MIN,29,0,328,93,4,16,40,9,0,41,31,13,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jacobam01w,9,2,LAS,5,0,61,10,1,1,6,0,0,8,7,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jacobam01w,9,1,WAS,6,3,82,10,1,6,11,3,0,8,7,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jamesta01w,7,0,WAS,21,0,160,57,9,7,3,4,2,10,13,18,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jamesta01w,8,0,WAS,31,9,401,167,15,34,34,25,4,28,43,53,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
januabr01w,10,0,IND,33,4,683,227,23,40,77,36,3,57,78,87,87,1,10,0,106,7,17,30,4,0,13,23,40,29,0
jekaban01w,10,0,CON,27,16,644,255,12,66,59,9,0,48,61,28,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0
joensca01w,8,0,CHI,19,0,271,95,6,27,32,17,1,13,18,13,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
joensca01w,9,0,CHI,26,0,272,99,5,30,14,5,2,23,26,8,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
johnsad01w,1,0,ORL,32,31,1100,436,30,60,54,24,3,56,59,38,148,1,3,3,34,3,1,8,1,1,7,7,4,10,0
johnsad01w,3,0,ORL,32,2,602,166,14,32,22,15,2,26,40,17,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0
johnsad01w,4,0,CON,34,5,584,173,23,35,18,17,1,21,36,24,49,0,3,0,12,0,4,4,1,0,0,2,0,1,0
johnsch01w,4,0,LAS,8,0,45,6,2,4,3,0,1,4,6,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
johnsja01w,2,0,ORL,17,1,139,35,10,13,9,4,3,17,21,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
johnsla01w,1,0,UTA,29,6,481,144,14,38,26,12,2,34,65,43,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
johnsla01w,2,0,UTA,26,0,228,50,4,15,7,2,1,13,26,14,30,0,2,0,4,0,1,0,0,1,3,4,2,3,0
johnsla01w,3,0,UTA,28,1,269,75,8,11,10,7,2,15,36,20,32,1,5,0,17,2,2,2,0,0,1,2,2,9,0
johnsla01w,4,0,SAS,31,1,279,58,7,18,9,3,1,14,31,22,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
johnsla01w,5,0,HOU,6,0,36,6,0,1,1,2,0,2,3,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
johnsni01w,1,0,CHA,6,0,78,26,0,4,11,4,0,9,3,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
johnspo01w,1,0,CLE,12,0,57,17,7,7,2,0,1,8,9,12,0,0,4,0,7,1,1,1,0,0,0,0,2,0,0
johnspo01w,2,0,CLE,18,0,119,28,12,19,4,0,2,10,12,9,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0
johnspo01w,3,0,MIA,31,30,801,217,58,82,32,27,15,53,75,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
johnspo01w,4,0,CLE,30,2,416,89,31,51,19,12,10,19,35,34,0,0,3,0,2,0,4,3,1,2,0,1,0,0,0
johnspo01w,5,0,HOU,19,0,157,22,16,13,1,4,3,8,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
johnssh01w,1,0,ORL,32,32,1126,381,53,102,169,58,7,102,83,144,90,0,3,3,18,4,17,14,5,2,7,9,8,13,0
johnssh01w,2,0,ORL,26,22,785,302,15,62,68,34,6,54,66,111,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0
johnssh01w,3,0,ORL,31,31,1110,499,49,80,163,51,7,98,78,214,77,1,0,0,0,0,0,0,0,0,0,0,0,0,0
johnssh01w,4,0,CON,34,34,1107,420,39,95,196,44,3,107,77,171,73,0,4,4,45,3,9,19,7,1,11,11,18,10,0
johnssh01w,5,0,SAS,31,30,954,287,14,68,136,48,4,99,69,107,76,2,0,0,0,0,0,0,0,0,0,0,0,0,0
johnssh01w,6,0,SAS,34,33,1104,317,17,74,158,46,5,113,78,136,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0
johnssh01w,7,0,SAS,32,32,874,318,31,64,117,60,5,75,78,97,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0
johnssh01w,8,0,DET,33,8,559,193,18,43,56,20,2,40,68,61,70,0,11,1,57,8,17,28,5,2,13,13,13,26,0
johnssh01w,9,0,HOU,33,32,1014,253,31,76,168,52,9,78,84,83,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0
johnssh01w,10,0,SEA,34,6,618,137,14,48,52,27,7,52,56,55,61,0,3,0,7,0,5,3,3,0,6,8,0,5,1
johnste01w,6,0,WAS,34,34,973,315,13,91,177,44,1,88,99,66,43,2,0,0,0,0,0,0,0,0,0,0,0,0,0
johnste01w,7,0,LAS,32,30,808,255,15,82,161,47,1,70,57,60,26,0,5,5,46,3,6,24,8,0,10,12,6,5,0
johnste01w,8,0,LAS,11,11,206,70,4,25,30,8,1,31,17,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
johnste01w,9,0,LAS,23,8,393,96,12,31,71,24,2,37,38,36,10,0,6,0,48,3,11,21,6,1,13,10,7,7,0
johnste01w,10,0,PHO,34,34,901,328,8,112,157,29,4,76,79,50,87,1,11,11,83,4,17,34,8,2,17,27,12,27,0
