playerID_raw  career_year  playerID  tmID  age  age_sq  pos  college  height  weight  prev_minutes  prev_points  prev_oRebounds  prev_dRebounds  prev_assists  prev_steals  prev_blocks  prev_turnovers  prev_PF  prev_fgAttempted  prev_fgMade  prev_ftAttempted  prev_ftMade  prev_threeMade  roll3_minutes  roll3_points  roll3_oRebounds  roll3_dRebounds  roll3_assists  roll3_steals  roll3_blocks  roll3_turnovers  roll3_PF  roll3_fgAttempted  roll3_fgMade  roll3_ftAttempted  roll3_ftMade  roll3_threeMade
  campbed01w            0        36    13 56.0  3136.0    6       70    68.0   152.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN       NaN                NaN           NaN                NaN           NaN              NaN
  campbed01w            1        36    12 57.0  3249.0    6       70    68.0   152.0         510.0        222.0             8.0            26.0          37.0         19.0          4.0            40.0     35.0             215.0         84.0              58.0         41.0            13.0          510.0         222.0              8.0             26.0           37.0          19.0           4.0             40.0      35.0              215.0          84.0               58.0          41.0             13.0
  campbmi01w            0        37    15 50.0  2500.0    4       78    77.0   170.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN       NaN                NaN           NaN                NaN           NaN              NaN
  cantydo01w            0        38     2 47.0  2209.0    7        2    69.0   162.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN       NaN                NaN           NaN                NaN           NaN              NaN
  cantydo01w            1        38     2 48.0  2304.0    7        2    69.0   162.0         784.0        257.0            31.0            39.0          82.0         49.0          5.0            51.0     64.0             203.0         83.0             131.0         91.0             0.0          784.0         257.0             31.0             39.0           82.0          49.0           5.0             51.0      64.0              203.0          83.0              131.0          91.0              0.0
  cassija01w            0        39     6 46.0  2116.0    1       36    75.0   187.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN       NaN                NaN           NaN                NaN           NaN              NaN
  clearmi01w            0        40    10 50.0  2500.0    6        7    66.0   126.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN       NaN                NaN           NaN                NaN           NaN              NaN
  clearmi01w            1        40    10 51.0  2601.0    6        7    66.0   126.0         509.0         57.0            12.0            25.0          77.0         34.0          2.0            14.0     36.0              45.0         14.0              27.0         19.0            10.0          509.0          57.0             12.0             25.0           77.0          34.0           2.0             14.0      36.0               45.0          14.0               27.0          19.0             10.0
  clinest01w            0        41    12 46.0  2116.0    6       75    65.0   148.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN       NaN                NaN           NaN                NaN           NaN              NaN
  clinest01w            1        41    12 47.0  2209.0    6       75    65.0   148.0         285.0         66.0             7.0            23.0          49.0         12.0          1.0            25.0     19.0              57.0         20.0              17.0         14.0            12.0          285.0          66.0              7.0             23.0           49.0          12.0           1.0             25.0      19.0               57.0          20.0               17.0          14.0             12.0
  colleka01w            0        42     6 53.0  2809.0    7       37    70.0   145.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN       NaN                NaN           NaN                NaN           NaN              NaN
